Emprendimiento,Dirección,Piso,Unidad,Tipo,Metros cuadrados,Precio de lista,Estado de la unidad,WEB,__PowerAppsId__
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,PB,00-01 Espacio 5,COCHERA,"12,50",23.000,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/COCHERA,
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,1,01-01,DEPARTAMENTO-2 DORMITORIOS,"86,50",181.650,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/DEPARTAMENTO-2DORMITORIOS,
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,1,01-02,DEPARTAMENTO-2 DORMITORIOS,"115,00",235.750,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/DEPARTAMENTO-2DORMITORIOS,
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,2,02-01,DEPARTAMENTO-2 DORMITORIOS,"86,50",194.625,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/DEPARTAMENTO-2DORMITORIOS,
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,3,03-02,DEPARTAMENTO-2 DORMITORIOS,"85,00",199.750,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/DEPARTAMENTO-2DORMITORIOS,
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,5,05-02,DEPARTAMENTO-MONOAMBIENTE,"37,00",79.550,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/DEPARTAMENTO-MONOAMBIENTE,
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,7,07-01,DEPARTAMENTO-2 DORMITORIOS,"86,50",220.575,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/DEPARTAMENTO-2DORMITORIOS,
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,7,07-02,DEPARTAMENTO-MONOAMBIENTE,"37,00",81.400,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/DEPARTAMENTO-MONOAMBIENTE,
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,7,07-03,DEPARTAMENTO-1 DORMITORIO,"47,00",110.450,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/DEPARTAMENTO-1DORMITORIO,
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,10/11,10-01 / 11-01,DEPARTAMENTO-DUPLEX 3 DORMITORIOS,"163,50",376.050,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/DEPARTAMENTO-DUPLEX3DORMITORIOS,
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,10/11,10-02 / 11-02,DEPARTAMENTO-DUPLEX 2 DORMITORIOS,"132,00",330.000,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/DEPARTAMENTO-DUPLEX2DORMITORIOS,
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,SS,BAULERA 1,BAULERA,"4,85",4.200,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/BAULERA,
PENSAER 18 - Dynha PLG,Av. Pellegrini 419,SS,I-01 Espacio 4,COCHERA,"12,50",23.000,Disponible de tercero,https://pensaer.com.ar/desarrollos/75a73405-b2d9-4704-9470-f3f98937ac07/unidades/COCHERA,